,df1,df2,df3,df4,df5,df6,df7
2055,-0.094,-0.1149999999999999,-0.1049999999999999,-0.021,0.0469999999999999,-0.094,-0.1049999999999999
2056,-0.027,0.0949999999999999,-0.197,0.376,0.0949999999999999,-0.044,-0.197
2057,-0.0499999999999999,0.064,-0.0629999999999999,-0.0499999999999999,0.064,0.523,0.01
2058,0.03,0.381,-0.003,0.135,0.381,0.381,-0.003
2059,-0.0729999999999999,0.125,-0.0729999999999999,0.141,0.125,0.125,0.0629999999999999
2060,-0.0639999999999999,-0.0639999999999999,-0.1579999999999999,0.78,-0.0639999999999999,-0.0639999999999999,-0.0639999999999999
2061,-0.0369999999999999,-0.1519999999999999,-0.1519999999999999,-0.1519999999999999,-0.1519999999999999,-0.1519999999999999,-0.1519999999999999
2062,0.0,0.275,-0.152,0.008,-0.152,-0.152,-0.152
2063,-0.0169999999999999,-0.0999999999999999,-0.121,-0.0919999999999999,-0.0999999999999999,-0.0999999999999999,0.046
2064,-0.0409999999999999,-0.0829999999999999,-0.0409999999999999,0.073,-0.0419999999999999,-0.0829999999999999,-0.01
2065,-0.162,-0.162,0.005,0.067,-0.162,-0.162,0.005
2066,-0.024,-0.0869999999999999,-0.0759999999999999,-0.036,-0.0869999999999999,-0.0869999999999999,-0.0759999999999999
2067,0.0,0.0279999999999999,-0.013,0.0779999999999999,0.0279999999999999,0.0279999999999999,0.0
2068,0.022,0.0329999999999999,0.022,0.022,0.022,0.022,0.002
2069,0.031,0.001,0.031,0.031,0.0,0.0509999999999999,0.031
2070,-0.1979999999999999,-0.0729999999999999,-0.1979999999999999,0.045,0.045,0.045,-0.1979999999999999
2071,-0.1459999999999999,-0.0419999999999999,-0.1509999999999999,0.0,-0.1259999999999999,-0.1459999999999999,0.01
2072,-0.0629999999999999,0.0,-0.1039999999999999,0.0,0.0,0.0,0.0
2073,-0.026,0.0279999999999999,-0.24,-0.271,0.0279999999999999,0.0279999999999999,-0.13
2074,0.1669999999999999,0.0799999999999999,-0.09,0.1669999999999999,0.0799999999999999,0.0799999999999999,0.0769999999999999
2075,0.0,0.0499999999999999,-0.02,0.2039999999999999,0.0499999999999999,0.022,-0.02
2076,-0.281,-0.153,-0.2189999999999999,-0.208,-0.153,-0.153,-0.2189999999999999
2077,-0.1809999999999999,-0.1809999999999999,-0.1809999999999999,-0.1809999999999999,-0.1809999999999999,-0.1809999999999999,-0.1809999999999999
2078,0.137,0.153,-0.0449999999999999,0.012,0.081,0.153,0.1159999999999999
2079,-0.2179999999999999,-0.062,-0.2179999999999999,-0.2179999999999999,-0.145,-0.2179999999999999,-0.2179999999999999
2080,0.0,0.0,0.042,0.062,0.0,0.0,0.062
2081,0.0839999999999999,-0.038,-0.083,-0.281,-0.081,0.479,-0.038
2082,-0.017,-0.0869999999999999,-0.158,-0.187,0.74,0.74,-0.187
2083,-0.1559999999999999,0.132,-0.133,-0.1359999999999999,0.132,0.132,-0.133
2084,-0.037,0.005,-0.008,-0.008,-0.037,-0.037,-0.008
2085,-0.3069999999999999,-0.253,-0.3069999999999999,-0.3159999999999999,-0.347,-0.347,-0.3069999999999999
2086,0.0,-0.042,0.0,0.0,-0.042,-0.042,0.0
2087,0.0,0.0,0.0,0.081,0.0,0.081,-0.0239999999999999
2088,0.1359999999999999,-0.001,0.0399999999999999,0.0109999999999998,-0.001,-0.001,-0.001
2089,-0.118,0.0339999999999999,-0.118,-0.072,-0.066,0.0589999999999999,-0.118
2090,-0.009,0.262,0.158,0.206,0.22,0.262,-0.0409999999999999
2091,-0.1669999999999999,-0.1669999999999999,-0.1669999999999999,0.618,-0.1669999999999999,-0.156,-0.1669999999999999
2092,-0.2299999999999999,-0.1879999999999999,-0.2099999999999999,-0.011,-0.1879999999999999,-0.1879999999999999,-0.148
