,df1,df2,df3,df4,df5,df6,df7
2192,0.055,0.672,-0.1089999999999999,0.672,0.672,0.055,-0.1089999999999999
2193,0.0,0.0,-0.781,-0.641,-0.906,0.0,-0.781
2194,-0.1,-0.1,-0.093,0.688,-0.07,-0.1,-0.093
2195,0.297,-0.344,-0.173,-0.383,-0.219,-0.219,0.297
2196,-0.102,-0.078,-0.102,0.1169999999999999,0.0779999999999999,0.0779999999999999,0.0629999999999999
2197,-0.171,-0.164,0.0,0.0,-0.164,-0.171,0.0
2198,0.0389999999999999,0.719,0.0,0.719,0.0389999999999999,0.0389999999999999,0.719
2199,0.203,0.273,0.156,0.406,0.406,0.406,0.14
2200,0.0469999999999999,0.008,0.1099999999999999,0.2109999999999999,0.008,0.008,0.243
2201,0.797,0.008,0.125,0.172,0.125,0.008,0.797
2202,-0.094,-0.234,-0.195,0.422,-0.234,-0.195,-0.195
2203,0.0,0.0,-0.547,-0.477,0.0,0.0,0.0
2204,0.0,-0.727,-0.617,-0.788,-0.727,-0.727,-0.516
2205,-0.491,0.297,-0.484,-0.461,0.297,0.1089999999999999,-0.375
2206,-0.788,-0.367,-0.586,0.0,-0.367,-0.453,-0.586
2207,-0.06,0.44,-0.332,0.456,0.44,-0.302,-0.325
2208,0.508,-0.25,-0.164,-0.039,-0.242,-0.242,-0.242
2209,-0.211,0.469,-0.093,-0.047,0.469,0.469,-0.093
2210,-0.227,0.453,-0.453,-0.2659999999999999,-0.2809999999999999,-0.2809999999999999,-0.297
2211,0.422,0.422,0.2269999999999999,-0.015,0.422,0.422,0.632
2212,-0.248,-0.2159999999999999,0.518,0.518,-0.2159999999999999,-0.2159999999999999,0.518
2213,0.305,0.2109999999999999,0.0909999999999999,0.2109999999999999,0.2109999999999999,0.2109999999999999,0.0909999999999999
2214,0.1639999999999999,0.844,0.1639999999999999,0.0389999999999999,0.266,0.36,0.1639999999999999
2215,0.1639999999999999,0.844,0.008,0.844,0.1639999999999999,0.0,0.008
2216,0.697,0.0249999999999999,0.697,0.0169999999999999,0.0799999999999999,0.697,0.697
2217,-0.219,0.461,-0.32,0.031,-0.0229999999999999,-0.328,-0.32
2218,-0.297,-0.133,-0.297,0.0389999999999999,-0.133,-0.133,0.484
2219,-0.319,-0.061,-0.0449999999999999,0.439,-0.077,-0.349,-0.342
2220,-0.032,0.0459999999999999,-0.244,-0.055,0.484,-0.304,0.0779999999999999
2221,0.2269999999999999,0.516,0.36,0.141,0.36,0.36,0.36
2222,-0.68,-0.688,-0.672,-0.562,-0.445,-0.719,0.0
2223,0.0,-0.788,0.0,-0.539,0.0,0.0,0.0
2224,0.672,0.672,0.047,0.672,0.242,0.672,0.047
2225,-0.024,0.023,0.023,-0.141,-0.024,0.039,0.656
2226,-0.062,0.0939999999999999,0.2809999999999999,0.1099999999999999,0.0939999999999999,0.0939999999999999,0.2809999999999999
2227,0.0709999999999999,0.1019999999999999,0.0709999999999999,0.008,0.258,0.118,0.383
2228,-0.1099999999999999,-0.047,-0.079,0.359,-0.047,-0.047,-0.079
2229,-0.086,-0.1089999999999999,-0.172,-0.0549999999999999,-0.1089999999999999,-0.1089999999999999,-0.172
2230,-0.089,-0.026,0.122,0.1069999999999999,0.591,0.591,0.591
2231,-0.68,-0.515,-0.719,-0.656,-0.515,-0.594,-0.515
2232,-0.18,0.016,0.5,0.5,0.016,0.016,0.5
2233,0.1949999999999999,0.1949999999999999,0.1089999999999999,0.1949999999999999,0.1949999999999999,0.1949999999999999,0.1949999999999999
2234,-0.781,-0.68,-0.844,-0.75,-0.68,-0.805,-0.212
2235,-0.305,0.375,-0.383,0.189,0.375,0.375,0.163
2236,-0.071,-0.375,-0.172,0.0929999999999999,-0.008,0.0,-0.172
2237,-0.274,-0.274,-0.1099999999999999,-0.274,-0.274,-0.274,-0.4459999999999999
2238,-0.187,0.43,-0.429,0.43,-0.375,0.43,-0.351
2239,0.1879999999999999,-0.015,-0.375,-0.456,-0.015,-0.015,-0.32
2240,0.179,0.182,-0.142,0.788,0.182,0.182,-0.142
